Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.01,.03,.05,-.02,-.13,-.25,-.18,.06,-.05,-.15,-.01,.05,-.05,***,***,-.03,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.08,-.03,-.04,-.01,-.01,.09,.00,-.01,-.04,.09,-.06,-.02
1882,.06,.07,.07,-.02,-.05,-.16,-.05,.00,-.04,.03,-.02,-.08,-.01,.00,.07,.00,-.07,-.01
1883,-.03,-.08,-.09,-.07,-.10,-.03,-.09,-.06,-.10,-.06,-.05,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.09,-.06,-.10,-.22,-.32,-.30,-.22,-.07,-.11,-.07,-.11,-.15,-.15,-.14,-.07,-.21,-.19,-.09
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.23,-.19,-.13,-.11,-.10,-.24,-.25,-.19,-.33,-.33,-.14
1886,-.15,-.20,-.17,-.20,-.16,-.32,-.22,-.19,-.15,-.24,-.16,-.29,-.20,-.19,-.15,-.17,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.37,-.31,-.24,-.26
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.06,.15,-.12,-.15,-.19,-.23,-.21,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.20,-.17,-.10,-.06,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.21,-.32,-.33,-.35,-.44,-.33,-.32,-.39,-.37,-.39,-.25,-.17,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.29,-.23,-.23,-.23,-.16,-.11,-.05,-.19,-.20,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.21,-.23,-.38,-.26,-.21,-.13,-.01,-.03,-.11,-.16,-.15,-.07,-.19,-.28,-.06
1893,-.13,-.18,-.12,-.24,-.23,-.32,-.14,-.17,-.16,-.09,-.04,-.06,-.16,-.16,-.14,-.20,-.21,-.10
1894,-.15,-.19,-.25,-.37,-.38,-.41,-.28,-.23,-.24,-.19,-.06,-.09,-.24,-.23,-.14,-.33,-.31,-.17
1895,-.16,-.07,-.18,-.26,-.26,-.22,-.17,-.09,-.18,-.12,-.20,-.05,-.16,-.17,-.11,-.23,-.16,-.17
1896,-.08,-.07,-.04,-.01,-.15,-.29,-.05,.00,-.01,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.12,.01,-.16,-.16,-.08,-.12,-.09,-.09,-.10,-.13,-.05,-.03,.09,-.01,-.12,-.10
1898,-.09,-.16,-.23,-.34,-.33,-.30,-.33,-.36,-.25,-.32,-.26,-.20,-.26,-.26,-.13,-.30,-.33,-.27
